Position FEN;Position description;Algorithm;Strategy;Depth;Duration [ms]
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Simple material evaluation;2;PT0.0021499S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Simple material evaluation;3;PT0.05620615S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Simple material evaluation;4;PT2.44857985S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Simple material evaluation;5;PT1M25.0206353S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Mate aware piece square evaluation;1;PT0.0003818S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Mate aware piece square evaluation;2;PT0.00198505S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Mate aware piece square evaluation;3;PT0.0504094S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Mate aware piece square evaluation;4;PT2.288219S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxParallel;Mate aware piece square evaluation;5;PT1M20.18017035S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware piece square evaluation;1;PT0.00025185S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware piece square evaluation;2;PT0.0103792S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware piece square evaluation;3;PT0.3401113S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware piece square evaluation;4;PT12.63524215S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxSequential;Mate aware piece square evaluation;5;PT7M3.12666695S
5rk1/5q1p/p2PR1p1/4p1b1/1pP5/1P1Q4/P5PP/1K2R3 b - - 0 31;Mid game - deflection - short;MiniMaxAlphaBetaSequential;Mate aware piece square evaluation;1;PT0.000247S
